Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,11-12-2012,5923.8,5965.15,5865.45,5898.8,-10.1,-.17,137415161,6403.06,18.66,3.13,1.4
CNX Nifty Junior,11-12-2012,12050.8,12117.7,11863.35,11988.3,-58.25,-.48,94833934,2183.89,17.19,2.22,1.32
CNX 100,11-12-2012,5841.95,5880.95,5781.5,5816.45,-12.7,-.22,232249095,8586.94,18.42,2.95,1.39
CNX 200,11-12-2012,3024.45,3044.95,2991.2,3009.6,-8.9,-.29,550023921,11676.08,18.34,2.76,1.39
S&P CNX 500,11-12-2012,4740.4,4771.8,4689.65,4716.25,-15.65,-.33,714761610,13194.99,18.35,2.6,1.4
NIFTY Midcap 50,11-12-2012,2379.4,2396.65,2322.65,2350.85,-27.1,-1.14,230985012,2031.35,14.92,1.43,1.38
CNX Midcap,11-12-2012,8437.5,8496.45,8297.4,8360.2,-76,-.9,310976319,2977.68,17.32,1.84,1.52
CNX Smallcap,11-12-2012,3749.65,3773.2,3674.75,3699.55,-43.35,-1.16,125167204,1217.05,46.39,1.4,1.31
S&P CNX Nifty Dividend,11-12-2012,-,-,-,75.4,0,-,-,-,-,-,-
CNX Auto,11-12-2012,4603.35,4633.9,4564.05,4605,.7,.02,24482790,746.79,22.02,4.24,1.58
CNX Bank,11-12-2012,12418.95,12538.9,12238,12344.6,-37.05,-.3,19636674,1755.53,15.13,2.48,1.21
CNX Energy,11-12-2012,7930.45,7956.1,7771.2,7817.9,-79.05,-1,33150910,824.73,12.21,1.77,1.61
CNX Finance,11-12-2012,5156.05,5204.6,5106.05,5142.7,3.15,.06,31831194,2268.78,17.9,3.01,1.2
CNX FMCG,11-12-2012,15675.25,15890.6,15663.55,15795.7,116.45,.74,21185136,1401.73,36.77,12.3,1.27
CNX IT,11-12-2012,5970.6,6009.3,5887.45,5917.6,-51.85,-.87,15517739,921.49,16.13,4.76,1.88
CNX Media,11-12-2012,1724.1,1737.55,1678.65,1694.95,-32.1,-1.86,22507477,239.51,40.82,4.94,.89
CNX Metal,11-12-2012,2778.35,2794.25,2732.55,2752,-19,-.69,25768853,609.98,11.73,1.18,1.91
CNX MNC,11-12-2012,5773.2,5835.25,5767.3,5794,21.95,.38,18728518,780.57,38.34,4.92,1.17
CNX Pharma,11-12-2012,5977.05,6061.6,5945.9,5973.3,18.25,.31,8434836,563.6,44.28,5.19,.78
CNX PSU Bank,11-12-2012,3580.75,3596.95,3495.75,3534.05,-36.3,-1.02,19716752,907.33,7.76,1.32,2.19
CNX Realty,11-12-2012,284.25,286.95,274.4,277.85,-6,-2.11,91263903,668.63,29.67,1.1,.49
CNX Consumption,11-12-2012,2326,2339.55,2312.85,2328.5,3.15,.14,75211267,2664.75,26.43,4.05,1.14
CNX Commodities,11-12-2012,2486.35,2499.4,2449.6,2465.25,-12.35,-.5,96467845,1837.17,14.51,1.63,1.73
CNX Dividend Opportunities,11-12-2012,1719.6,1733.8,1705,1714.05,-5.2,-.3,105145464,2415.95,12.07,2.31,2.47
CNX Infrastructure,11-12-2012,2647.55,2657.35,2598.9,2617.9,-20.85,-.79,135199436,1412.51,19.83,2.12,1.11
CNX PSE,11-12-2012,2894.5,2901.6,2840.1,2859.25,-27.4,-.95,39292952,569.88,9.5,1.87,2.78
CNX Service Sector,11-12-2012,7121,7169.7,7036.8,7077.65,-25.1,-.35,85416994,3767.66,16.86,2.87,1.39
S&P CNX Nifty Shariah,11-12-2012,-,-,-,1215.72,-3.78,-.31,45904407,2809.29,18.25,3.44,1.56
S&P CNX 500 Shariah,11-12-2012,-,-,-,1316.56,-3.58,-.27,89080127,3780.4,19.24,3.58,1.5
S&P ESG India,11-12-2012,-,-,-,3801.18,-24.21,-.63,-,-,-,-,-
CNX Low Volatility,11-12-2012,-,-,-,4555.79,-14.25,-.31,64861391,3263.37,20.66,3.29,1.44
CNX Alpha Index,11-12-2012,-,-,-,4715.11,-10.6,-.22,64698652,3209.52,23.21,4.28,.8
CNX High Beta,11-12-2012,-,-,-,1661.41,-20.62,-1.23,320243170,3768.4,20.79,1.05,1.23
