Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,27-03-2014,6613.1,6673.95,6599.5,6641.75,40.35,.61,312383468,12924.37,18.71,3.14,1.41
CNX Nifty Junior,27-03-2014,12952.1,13086.95,12950.45,13019.1,70.15,.54,121664629,3305.43,16.61,2.37,1.36
CNX 100,27-03-2014,6484.45,6543.2,6474.35,6513.3,38.85,.6,434048097,16229.81,18.36,3,1.4
CNX 200,27-03-2014,3291.1,3320.45,3287.4,3306.2,20,.61,762225414,18541,18.1,2.78,1.43
CNX 500,27-03-2014,5121.65,5165.8,5117.4,5146.2,31.5,.62,887309769,19720.06,19.06,2.59,1.43
NIFTY Midcap 50,27-03-2014,2355.35,2375.45,2352.2,2356.15,1.15,.05,259585361,2201.27,14.73,1.34,1.61
CNX Midcap,27-03-2014,8328.05,8394.8,8328.05,8355.95,26.8,.32,314227838,3227.99,15.1,1.76,1.64
CNX Smallcap,27-03-2014,3534.4,3567.75,3534.4,3557.4,27.65,.78,134580460,947.66,50.17,1.01,1.65
CNX Nifty Dividend,27-03-2014,-,-,-,97.24,0,-,-,-,-,-,-
CNX Auto,27-03-2014,5705.3,5763.6,5695.4,5719.55,25.2,.44,99253447,1554.34,26.16,4.79,1.14
CNX Bank,27-03-2014,12560.9,12767.5,12513.1,12604.95,86.6,.69,55372139,4091.96,14.02,2.19,1.44
CNX Energy,27-03-2014,8113.4,8237,8111.35,8222.5,104.85,1.29,67392575,2150.76,12.55,1.71,1.97
CNX Finance,27-03-2014,5189.9,5270.15,5169.5,5215.7,44.35,.86,72767496,4219.71,15.53,2.6,1.42
CNX FMCG,27-03-2014,18093.15,18257.3,18010.5,18175.3,90.25,.5,26499323,1243.61,36.37,12.19,1.51
CNX IT,27-03-2014,9234.3,9244.9,9159.95,9217.1,-5.8,-.06,15369362,2012.85,21,6.34,1.11
CNX Media,27-03-2014,1802.95,1822.75,1777.55,1782,-23.15,-1.28,11116814,204.78,32.44,3.84,.98
CNX Metal,27-03-2014,2388.1,2404.3,2382.45,2392.15,.6,.03,45619996,877.45,12.44,1.22,2.04
CNX MNC,27-03-2014,6255.35,6314.55,6252.6,6291.45,38.7,.62,87636378,899.94,36.2,5.82,1.5
CNX Pharma,27-03-2014,7659.05,7680.1,7523.15,7556.85,-71.75,-.94,12996529,848.78,44.58,5.99,.68
CNX PSU Bank,27-03-2014,2539.4,2633.85,2539.4,2609.8,84.45,3.34,53775455,1858.99,8.39,.94,3.17
CNX Realty,27-03-2014,179.8,182.5,179.15,181.3,2.1,1.17,73416771,465.47,37.82,.86,1.05
CNX Consumption,27-03-2014,2594.5,2630.65,2591.05,2624.25,32.15,1.24,80201565,3091.12,27.66,4.33,1.27
CNX Commodities,27-03-2014,2309.5,2338.35,2306.4,2330.55,17.85,.77,125489959,3388.85,12.08,1.53,2.17
CNX Dividend Opportunities,27-03-2014,1658.3,1683.25,1653.85,1678.55,21.1,1.27,199518326,3424.54,11.1,1.96,3.28
CNX Infrastructure,27-03-2014,2552,2602.35,2550.9,2580.85,31.4,1.23,193949180,2402.86,18.17,2,1.4
CNX PSE,27-03-2014,2780.15,2832.65,2776.1,2822.05,32.3,1.16,101496098,1516.6,9.56,1.69,3.34
CNX Service Sector,27-03-2014,7975,8060.7,7958.4,8005.65,52.75,.66,169403185,8009.16,16.57,2.88,1.37
CNX Nifty Shariah,27-03-2014,-,-,-,1493.34,15.09,1.02,56089887,3957.66,19.13,3.53,1.23
CNX 500 Shariah,27-03-2014,-,-,-,1595.54,13.99,.88,103145061,5388.5,20.31,3.78,1.17
CNX Low Volatility,27-03-2014,-,-,-,4946.98,28.64,.58,103058561,6028.95,20.06,3.19,1.44
CNX Alpha Index,27-03-2014,-,-,-,5234.26,-8.36,-.16,80166364,4183.87,22.71,4.2,.68
CNX High Beta,27-03-2014,-,-,-,1334.98,13.11,.99,352516077,5677.14,15.28,.82,2.3
CNX DEFTY,27-03-2014,-,-,-,3827.34,25.95,.68,-,-,-,-,-
CNX 100 Equal Weight,27-03-2014,-,-,-,7658.37,56.7,.75,434048097,16229.81,15.12,2.11,1.7
LIX 15,27-03-2014,2733.7,2773.35,2731.25,2755.2,27.4,1,145369420,4238.3,14.11,1.5,1.46
CPSE,27-03-2014,1930.55,1963,1924.15,1951.65,14.3,.74,25777871,737.29,10.86,2,3.4
