Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,17-06-2013,5820.4,5854.9,5770.25,5850.05,41.65,.72,107160887,4560.84,17.75,3.09,1.42
CNX Nifty Junior,17-06-2013,11717.75,11857.55,11637.95,11844.85,139.5,1.19,64580525,1473.29,18.53,2.23,1.35
CNX 100,17-06-2013,5730.55,5769.15,5683.3,5764.7,45.05,.79,171741412,6034.13,17.87,2.92,1.41
CNX 200,17-06-2013,2921.6,2940.5,2897.3,2938.15,21.75,.75,369236703,7379.62,17.61,2.7,1.43
CNX 500,17-06-2013,4533.9,4560.25,4498.7,4557.5,31.55,.7,430098635,8110.65,17.82,2.51,1.44
NIFTY Midcap 50,17-06-2013,1932.8,1946.7,1905.7,1943.2,12.85,.67,178032608,1364.96,12.54,1.19,1.74
CNX Midcap,17-06-2013,7494.25,7543.5,7431.75,7537.45,48.25,.64,188234089,1843.88,17.89,1.69,1.58
CNX Smallcap,17-06-2013,3015.55,3023.65,2991.3,3021.25,8.35,.28,82320928,655.2,27.64,1.08,1.63
CNX Nifty Dividend,17-06-2013,-,-,-,37.3,0,-,-,-,-,-,-
CNX Auto,17-06-2013,4569.15,4636.35,4527.7,4625.95,82.75,1.82,40981645,771.14,23.72,4.31,1.54
CNX Bank,17-06-2013,11928.3,11992.95,11735.25,11971.05,48.2,.4,18764513,1659.23,14.04,2.45,1.23
CNX Energy,17-06-2013,7733.4,7778.95,7670.3,7768.1,46.25,.6,18251666,467.14,11.54,1.75,1.66
CNX Finance,17-06-2013,4911.6,4953.05,4861.4,4942.25,32.9,.67,28941225,1933.5,16.12,2.93,1.23
CNX FMCG,17-06-2013,17081.9,17143.7,16887.35,17123.05,85.3,.5,8510140,517.13,37.15,13.25,1.17
CNX IT,17-06-2013,6394.25,6438.05,6358.55,6423.2,52.8,.83,8781969,465.65,16.91,5.2,1.77
CNX Media,17-06-2013,1615,1632.75,1604.45,1626.55,13.4,.83,7378564,131.76,37.68,4.96,.95
CNX Metal,17-06-2013,2031,2033.4,1996,2021.15,-1.85,-.09,22962776,407.08,9.71,.92,2.73
CNX MNC,17-06-2013,5709.6,5718.65,5670.45,5710.3,21.15,.37,7490372,284.19,30.73,5.7,1.44
CNX Pharma,17-06-2013,6667.4,6718.35,6648.45,6674.45,17.55,.26,4026548,294.16,41.94,5.78,.72
CNX PSU Bank,17-06-2013,2995.05,3011.65,2915.85,3003,16,.54,12356384,776.82,7.01,1.14,2.54
CNX Realty,17-06-2013,204.55,204.55,198,202.85,0,0,59226213,281.89,27.49,.86,.65
CNX Consumption,17-06-2013,2355.9,2388.4,2347.25,2385.9,37.9,1.61,45985944,1561.83,26.63,4.12,1.1
CNX Commodities,17-06-2013,2152.15,2157.95,2124.5,2155.1,8.3,.39,66994642,1086.96,13.1,1.43,2.05
CNX Dividend Opportunities,17-06-2013,1650.4,1655.65,1633.6,1654.35,6.6,.4,41750657,982.28,11.74,2.12,2.62
CNX Infrastructure,17-06-2013,2287.45,2318.95,2266.25,2313.2,23.85,1.04,93565165,1044.54,15.38,1.85,1.33
CNX PSE,17-06-2013,2714.1,2718.65,2680.25,2713.3,3.7,.14,25319796,427.37,9.83,1.77,2.93
CNX Service Sector,17-06-2013,6989.65,7040.6,6929.05,7032.25,49,.7,67302346,2911.06,15.87,2.82,1.39
CNX Nifty Shariah,17-06-2013,-,-,-,1258.73,11.31,.91,23034384,1247.82,16.5,2.77,1.39
CNX 500 Shariah,17-06-2013,-,-,-,1337.64,10.82,.82,76754558,2184.47,18.22,2.91,1.42
S&P ESG India,17-06-2013,-,-,-,3540.83,24.17,.69,-,-,-,-,-
CNX Low Volatility,17-06-2013,-,-,-,4668.46,24.89,.54,33015125,2133.18,20.23,3.99,1.46
CNX Alpha Index,17-06-2013,-,-,-,4546.24,52.82,1.18,31047112,1425.25,24.69,4.34,.55
CNX High Beta,17-06-2013,-,-,-,1256,1.98,.16,220771737,2392.1,20.78,.71,1.53
CNX DEFTY,17-06-2013,-,-,-,3511.19,25.6,.73,-,-,-,-,-
CNX 100 Equal Weight,17-06-2013,-,-,-,6783.69,52.21,.78,171741412,6034.13,16.5,2.01,1.55
