Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,31-07-2013,5738.35,5752.1,5675.75,5742,-13.05,-.23,235469131,8717.16,17.05,2.84,1.47
CNX Nifty Junior,31-07-2013,11118.7,11190.7,10905.05,11161.95,11.95,.11,150041190,3125.03,16.75,2.08,1.43
CNX 100,31-07-2013,5617.45,5632.35,5551.65,5623.8,-9.95,-.18,385510321,11842.2,17,2.69,1.46
CNX 200,31-07-2013,2832.9,2839.9,2797.05,2836.3,-5.4,-.19,635996367,13452.64,16.61,2.47,1.5
CNX 500,31-07-2013,4376.95,4383.35,4319.7,4379.65,-10.7,-.24,724307725,14038.11,16.8,2.3,1.53
NIFTY Midcap 50,31-07-2013,1797.2,1836.95,1759.25,1830,22.25,1.23,210555341,1915.79,12.95,1.17,1.81
CNX Midcap,31-07-2013,6829.3,6888.3,6693.35,6872.95,14.8,.22,259982033,2561.84,15.77,1.52,1.75
CNX Smallcap,31-07-2013,2668.15,2668.15,2589.85,2652.65,-24.15,-.9,114768958,415.83,30.41,.93,1.91
CNX Nifty Dividend,31-07-2013,-,-,-,59.68,0,-,-,-,-,-,-
CNX Auto,31-07-2013,4419.75,4485.7,4378.05,4474,32.6,.73,27823904,736.22,22.85,4.16,1.56
CNX Bank,31-07-2013,10164.65,10164.65,9863.05,10015.75,-193.8,-1.9,60228820,3382.13,11.57,1.83,1.74
CNX Energy,31-07-2013,7613.3,7733.7,7477.95,7716.65,75.2,.98,42333670,949.06,11.04,1.66,1.68
CNX Finance,31-07-2013,4342.4,4342.4,4250.85,4278.4,-76.15,-1.75,70711902,3513.79,13.68,2.36,1.57
CNX FMCG,31-07-2013,17848.5,17923.65,17334.45,17480.95,-417.05,-2.33,26899104,1342.68,37.63,13,1.14
CNX IT,31-07-2013,7738.25,7808.5,7708.65,7787.35,68.5,.89,14964070,1300.38,20.34,5.54,1.3
CNX Media,31-07-2013,1614.1,1658.6,1594.95,1650.1,33.3,2.06,26390401,230.49,36.55,5.03,.94
CNX Metal,31-07-2013,1699.85,1742.85,1665.4,1736.3,31.6,1.85,33924748,518.83,8.64,.79,2.97
CNX MNC,31-07-2013,5533,5550.95,5449.1,5530.8,-16.65,-.3,23849777,514.49,29.97,4.85,1.37
CNX Pharma,31-07-2013,7030.4,7125.9,7013.75,7107.85,51.75,.73,8605265,551.88,46.53,6.16,.67
CNX PSU Bank,31-07-2013,2333.35,2369.9,2271.45,2361.9,15.5,.66,32549460,988.07,5.61,.82,3.61
CNX Realty,31-07-2013,169.35,169.85,163.2,167.55,-4.3,-2.5,51480203,268.32,23.39,.71,.79
CNX Consumption,31-07-2013,2450.5,2478.8,2431.8,2473.75,12.3,.5,89063427,3098.74,27.32,4.29,1.08
CNX Commodities,31-07-2013,1966.65,1991.8,1930.05,1988.15,10.4,.53,93780021,1757.89,11.23,1.31,2.17
CNX Dividend Opportunities,31-07-2013,1511.85,1516.15,1477.4,1512.75,-4.8,-.32,138862769,2480.6,9.99,1.73,3.05
CNX Infrastructure,31-07-2013,2141.5,2184.55,2116.75,2178.95,18.85,.87,188773619,1998.91,14.62,1.75,1.41
CNX PSE,31-07-2013,2402.3,2432.1,2321.65,2423.95,6.4,.26,56655616,879.92,8.35,1.58,3.28
CNX Service Sector,31-07-2013,6870.1,6886.95,6799.15,6871.75,-18.75,-.27,151972773,6168.2,15.42,2.58,1.47
CNX Nifty Shariah,31-07-2013,-,-,-,1345.27,17.5,1.32,48225851,2665.24,16.95,2.78,1.28
CNX 500 Shariah,31-07-2013,-,-,-,1392.53,10.92,.79,102067370,3582.72,18.17,2.88,1.29
S&P ESG India,31-07-2013,-,-,-,3375.14,5.35,.16,-,-,-,-,-
CNX Low Volatility,31-07-2013,-,-,-,4574.13,-13.53,-.29,81890495,4145.73,18.2,3.5,1.49
CNX Alpha Index,31-07-2013,-,-,-,4201.54,-9.67,-.23,117922400,3718.11,28.41,3.7,.6
CNX High Beta,31-07-2013,-,-,-,1025.84,-2.21,-.21,357482562,4322.56,14.28,.57,2.38
CNX DEFTY,31-07-2013,-,-,-,3255.5,-77.61,-2.33,-,-,-,-,-
CNX 100 Equal Weight,31-07-2013,-,-,-,6345.4,12.34,.19,385510321,11842.2,14.28,1.8,1.76
LIX 15,31-07-2013,2132.5,2133.25,2079.6,2129.1,-14.55,-.68,143535477,3418.73,11.34,1.28,1.63
