Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,01-07-2013,5834.1,5904.35,5822.2,5898.85,56.65,.97,144794030,5405.72,17.96,3.07,1.4
CNX Nifty Junior,01-07-2013,11575.5,11905.55,11570.5,11891.85,345.2,2.99,105596677,2588.1,17.39,2.18,1.38
CNX 100,01-07-2013,5731.6,5813.2,5727.75,5809,72.7,1.27,250390707,7993.82,17.87,2.89,1.4
CNX 200,01-07-2013,2912.3,2954.7,2910.65,2952.65,38.95,1.34,481649333,9267.01,17.57,2.66,1.43
CNX 500,01-07-2013,4509.35,4574.55,4506.5,4572.05,61.15,1.36,550855369,9764.39,17.77,2.47,1.45
NIFTY Midcap 50,01-07-2013,1894.65,1956.25,1894.15,1953.05,61.4,3.25,233750016,1843.53,12.77,1.16,1.81
CNX Midcap,01-07-2013,7357.15,7516.2,7357.15,7511.1,168.7,2.3,229307244,2234.48,16.66,1.61,1.65
CNX Smallcap,01-07-2013,2917.45,2981.25,2916.8,2979.55,72.7,2.5,109926489,454.42,31.23,1.04,1.71
CNX Nifty Dividend,01-07-2013,-,-,-,43.31,0,-,-,-,-,-,-
CNX Auto,01-07-2013,4523.1,4639.8,4493.1,4630.15,90.7,2,27038885,721.89,23.74,4.32,1.54
CNX Bank,01-07-2013,11597.45,11733.1,11597.45,11714.9,97.65,.84,15760165,1215.61,13.84,2.28,1.33
CNX Energy,01-07-2013,8014.3,8167.4,8008,8153.8,155.3,1.94,32730188,887.33,12.1,1.84,1.58
CNX Finance,01-07-2013,4876.15,4926.9,4869.05,4920,38,.78,35687218,1654.81,16.04,2.86,1.26
CNX FMCG,01-07-2013,16715.95,16988.05,16662.75,16965.15,276.95,1.66,24740222,1626.22,36.73,13.13,1.18
CNX IT,01-07-2013,6589.3,6589.3,6515.3,6526.45,-107.7,-1.62,6918450,425.22,17.3,5.02,1.69
CNX Media,01-07-2013,1656.5,1710.3,1653.6,1708.35,52.1,3.15,7997574,90.11,38.21,5.21,.9
CNX Metal,01-07-2013,1968.15,2015.75,1966.75,2008.25,39.05,1.98,23797832,475.45,9.94,.91,2.59
CNX MNC,01-07-2013,5633.85,5729.45,5621.9,5720.35,81.75,1.45,18472821,772.21,30.78,5.7,1.35
CNX Pharma,01-07-2013,6752.2,6856.25,6752.2,6838.85,82.55,1.22,5043323,354.82,42.97,5.92,.7
CNX PSU Bank,01-07-2013,2751.8,2845.15,2751.8,2837.95,94.15,3.43,14037716,581.34,6.72,.98,3.01
CNX Realty,01-07-2013,191.25,203.3,191.25,202.85,10.6,5.51,86535766,428.94,27.15,.86,.65
CNX Consumption,01-07-2013,2381.4,2444.6,2378.8,2442.2,63.65,2.68,85676897,3003.02,27.45,4.25,1.08
CNX Commodities,01-07-2013,2146.1,2185.35,2145.4,2181.8,40.35,1.88,74866667,1617.34,12.61,1.45,1.97
CNX Dividend Opportunities,01-07-2013,1613.7,1636.55,1613.7,1634.45,22.7,1.41,69877170,1752.47,11.09,1.96,2.75
CNX Infrastructure,01-07-2013,2260.1,2328,2260.1,2324.05,68.85,3.05,135311018,1572.2,15.52,1.87,1.33
CNX PSE,01-07-2013,2726.8,2751.7,2726.8,2749.1,32.75,1.21,29761387,584.94,9.42,1.79,2.9
CNX Service Sector,01-07-2013,7009.85,7074.6,7000.65,7067.75,44.1,.63,109149929,3100.34,16.02,2.75,1.4
CNX Nifty Shariah,01-07-2013,-,-,-,1300.8,16.42,1.28,32921554,1901.09,17.09,2.84,1.3
CNX 500 Shariah,01-07-2013,-,-,-,1366.02,14.74,1.09,78037098,2777.95,19.12,3.02,1.3
S&P ESG India,01-07-2013,-,-,-,3548.34,60.66,1.74,-,-,-,-,-
CNX Low Volatility,01-07-2013,-,-,-,4705.93,44.61,.96,51781716,3090.93,20.4,4,1.45
CNX Alpha Index,01-07-2013,-,-,-,4468.11,109.26,2.51,39858678,2014.41,24.07,4.1,.61
CNX High Beta,01-07-2013,-,-,-,1235.58,58.45,4.97,315701800,3104.25,20.14,.69,1.6
CNX DEFTY,01-07-2013,-,-,-,3455.6,64.74,1.91,-,-,-,-,-
CNX 100 Equal Weight,01-07-2013,-,-,-,6810.94,145.58,2.18,250390707,7993.82,15.28,1.93,1.65
