Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,28-06-2012,5148.95,5159.05,5125.3,5149.15,7.25,.14,143073791,5597.52,17.08,2.95,1.55
CNX Nifty Junior,28-06-2012,9862.85,9901.2,9805.05,9885.15,23,.23,99827015,2223.89,15.18,2.15,1.49
CNX 100,28-06-2012,5033.05,5043.5,5009.05,5034.95,7.8,.16,242900806,7821.41,16.76,2.79,1.54
CNX 200,28-06-2012,2596.95,2603.2,2585.3,2598,3.8,.15,449486114,9381.22,16.77,2.58,1.55
S&P CNX 500,28-06-2012,4073.8,4083.65,4056.9,4075.05,5.2,.13,584221921,10332.9,17.01,2.43,1.57
NIFTY Midcap 50,28-06-2012,2090.85,2104.5,2079.5,2087.1,-3.3,-.16,128435773,1047.72,12.86,1.32,2.06
CNX Midcap,28-06-2012,7195.4,7230.5,7170.8,7197,2.55,.04,206013577,1667.92,14.95,1.68,1.83
CNX Smallcap,28-06-2012,3302.2,3320.85,3288.8,3297.95,-.7,-.02,105426955,792.45,21.79,1.35,1.64
S&P CNX Nifty Dividend,28-06-2012,-,-,-,43.31,0,-,-,-,-,-,-
CNX Auto,28-06-2012,3888.9,3897.55,3831.35,3886.9,6,.15,29987446,730.02,19.65,3.88,2.15
CNX Bank,28-06-2012,10023.9,10052.2,9950.1,10003.85,-13.95,-.14,49485065,2813.62,13.67,2.35,1.28
CNX Energy,28-06-2012,7411.45,7440.35,7352.95,7385.65,-10.7,-.14,21821138,567.01,12.93,1.75,1.67
CNX Finance,28-06-2012,4055.9,4063.75,4030.25,4049.25,-4.05,-.1,32138798,2185.09,15.79,2.77,1.3
CNX FMCG,28-06-2012,12352.5,12487.7,12333.55,12462.95,116.35,.94,16737011,578.98,32.57,11.41,1.51
CNX IT,28-06-2012,6037.15,6079.15,6021.9,6055.65,13.25,.22,32127650,749.58,18.29,4.92,1.84
CNX Media,28-06-2012,1255.45,1255.45,1225.05,1234.3,-7.75,-.62,12061912,128.64,43.15,3.57,1.32
CNX Metal,28-06-2012,2781.15,2791.05,2760.6,2776.5,4.1,.15,32929596,741.32,11.5,1.32,1.56
CNX MNC,28-06-2012,5161.55,5171.3,5130.55,5152,.5,.01,17434078,436.51,33.85,4,1.25
CNX Pharma,28-06-2012,5109,5133.6,5091.1,5111.55,-2,-.04,5591592,295.1,40.98,4.72,1.19
CNX PSU Bank,28-06-2012,3204.45,3213.55,3158.15,3184.1,-14.95,-.47,11347330,775.19,7.67,1.47,2.2
CNX Realty,28-06-2012,218.35,219.65,216.35,217.75,.05,.02,33750613,266.47,22.75,.89,.64
CNX Consumption,28-06-2012,1902.35,1905.65,1890.35,1901.05,3.5,.18,58899775,1340.73,22.34,3.38,1.55
CNX Commodities,28-06-2012,2342.3,2351.95,2330.05,2345.7,10.3,.44,89022703,1627.08,13.6,1.67,1.69
CNX Dividend Opportunities,28-06-2012,1511.45,1517.05,1506.1,1514.7,4.6,.3,56409345,1192.41,11.87,2.68,2.61
CNX Infrastructure,28-06-2012,2348.55,2359.05,2331.55,2341.45,1.95,.08,127773660,1132.75,17.76,1.97,1.25
CNX PSE,28-06-2012,2846.2,2860.35,2833.45,2847.25,1.4,.05,45332355,718.94,11.51,2.09,2.54
CNX Service Sector,28-06-2012,6148.3,6157.6,6112.95,6139.55,-3.85,-.06,69593045,3154.02,16.12,2.77,1.46
S&P CNX Nifty Shariah,28-06-2012,-,-,-,1135.74,.72,.06,42053465,1844.17,17.16,3.31,1.71
S&P CNX 500 Shariah,28-06-2012,-,-,-,1207.4,1.75,.14,79612080,2596.59,18.03,3.45,1.6
S&P ESG India,28-06-2012,-,-,-,3380.86,-2.3,-.07,-,-,-,-,-
