Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,28-11-2013,6092,6112.95,6068.3,6091.85,34.75,.57,195315802,6589.55,18.13,2.89,1.53
CNX Nifty Junior,28-11-2013,12193.2,12253.4,12180.25,12210.7,75.05,.62,91612378,2445.7,14.93,2.19,1.47
CNX 100,28-11-2013,5993.1,6014.6,5973.2,5994.3,34.6,.58,286928180,9035.25,17.55,2.76,1.52
CNX 200,28-11-2013,3034.1,3045.6,3025.75,3035.8,18.25,.6,602905354,11158.42,17.5,2.55,1.56
CNX 500,28-11-2013,4704.55,4722.7,4696.5,4708.8,28.95,.62,720142017,12046.91,18.18,2.37,1.57
NIFTY Midcap 50,28-11-2013,2139.2,2159.45,2138.8,2149.65,22.4,1.05,277914436,2334.69,12.14,1.26,1.82
CNX Midcap,28-11-2013,7565.95,7613,7565.95,7597.2,67.75,.9,289308699,2880.98,13.91,1.61,1.83
CNX Smallcap,28-11-2013,3137.45,3158.4,3137.45,3146.8,25.4,.81,131671173,832.75,39.76,.88,1.91
CNX Nifty Dividend,28-11-2013,-,-,-,80.83,0,-,-,-,-,-,-
CNX Auto,28-11-2013,5284.55,5321.05,5253.6,5275.95,22.6,.43,43910847,1100.75,27.98,4.48,1.23
CNX Bank,28-11-2013,10994.25,11062.15,10843,10906.75,7.45,.07,30946854,1877.12,12.59,1.88,1.69
CNX Energy,28-11-2013,7680.65,7771.95,7680.65,7715.4,64.95,.85,42582466,811.81,11.16,1.58,2.11
CNX Finance,28-11-2013,4630.35,4655.9,4581.65,4600.8,6.2,.13,38451224,2015.93,14.28,2.29,1.61
CNX FMCG,28-11-2013,16808.25,16857.1,16698.75,16765.85,33.4,.2,17699810,980.67,34.82,11.23,1.64
CNX IT,28-11-2013,8729.25,8767,8679.1,8748.35,45.95,.53,13298262,1023.69,21.7,6.11,1.18
CNX Media,28-11-2013,1654.05,1684.3,1649.95,1670.5,22.05,1.34,11396837,151.34,30.59,3.82,1.12
CNX Metal,28-11-2013,2291.8,2316.5,2291.8,2306.1,23.6,1.03,34567885,721.6,14.89,1.2,2.08
CNX MNC,28-11-2013,5817.95,5863.75,5817.95,5851.1,48.95,.84,27374107,585.68,39.87,5.42,1.66
CNX Pharma,28-11-2013,7275.4,7310.55,7251.85,7268.1,22.2,.31,7909026,486.52,47,5.73,.69
CNX PSU Bank,28-11-2013,2443.05,2453.55,2418.35,2423.8,3.55,.15,23998550,745.09,6.52,.79,3.77
CNX Realty,28-11-2013,172.1,173.65,170.85,171.7,2,1.18,93425759,334.95,28.49,.81,.92
CNX Consumption,28-11-2013,2521.75,2531.7,2513.5,2522.15,11.9,.47,43547893,2027.62,26.59,4.21,1.32
CNX Commodities,28-11-2013,2206.4,2223.9,2206.4,2217.3,19.2,.87,85539233,1743.73,11.46,1.47,2.26
CNX Dividend Opportunities,28-11-2013,1555.6,1563.45,1550.65,1555.55,6.55,.42,89464396,1574.81,10.49,1.88,3.5
CNX Infrastructure,28-11-2013,2366.45,2399,2365.9,2388,35.25,1.5,210908759,2042.66,16.67,1.8,1.51
CNX PSE,28-11-2013,2551.15,2578.55,2551.15,2566.7,22.05,.87,64714878,764.62,8.27,1.53,3.68
CNX Service Sector,28-11-2013,7400.4,7413.65,7352.75,7383.3,28.95,.39,96949624,3898.03,16.02,2.66,1.49
CNX Nifty Shariah,28-11-2013,-,-,-,1379.85,9.09,.66,33867671,1903.19,18.45,3.29,1.33
CNX 500 Shariah,28-11-2013,-,-,-,1459.86,10.81,.75,104284225,3335.68,19.48,3.5,1.3
CNX Low Volatility,28-11-2013,-,-,-,4653.92,25.66,.55,59564087,2958.53,18.7,2.73,1.66
CNX Alpha Index,28-11-2013,-,-,-,4710.32,16.46,.35,48355947,2559.82,27.71,3.98,.65
CNX High Beta,28-11-2013,-,-,-,1254.57,15.64,1.26,359214776,3783.78,14.76,.72,2.33
CNX DEFTY,28-11-2013,-,-,-,3383.31,17.84,.53,-,-,-,-,-
CNX 100 Equal Weight,28-11-2013,-,-,-,7031.78,61.06,.88,286928180,9035.25,12.77,1.82,1.89
LIX 15,28-11-2013,2572.25,2581.75,2552.1,2561.2,9.05,.35,104361237,2781.15,13.33,1.39,1.57
